年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2019年12月17日,15459,4928,,
2019年12月18日,15450,4920,,
2019年12月19日,15467,4915,,
2019年12月20日,15484,4922,,
2019年12月23日,15571,4951,,
2019年12月24日,15579,4956,,
2019年12月25日,15579,4967,,
2019年12月26日,15578,4966,,
2019年12月27日,15577,4966,,
2019年12月30日,15708,5008,,
2020年01月06日,15510,5007,,
2020年01月07日,15563,5025,,
2020年01月08日,15580,5029,,
2020年01月09日,15685,5067,,
2020年01月10日,15870,5147,,
2020年01月14日,16035,5202,,
2020年01月15日,16044,5234,,
2020年01月16日,16052,5254,,
2020年01月17日,16158,5299,,
2020年01月20日,16262,5339,,
2020年01月21日,16262,5365,,
2020年01月22日,16128,5321,,
2020年01月23日,16180,5426,,
2020年01月24日,16083,5426,,
2020年01月27日,15985,5416,,
2020年01月28日,15623,5319,,
2020年01月29日,15789,5404,,
2020年01月30日,15832,5430,,
2020年01月31日,15761,5405,,
2020年02月03日,15503,5331,,
2020年02月04日,15723,5421,,
2020年02月05日,16147,5564,,
2020年02月06日,16209,5592,,
2020年02月07日,16332,5662,,
2020年02月10日,16215,5649,,
2020年02月12日,16381,5736,,
2020年02月13日,16504,5794,,
2020年02月14日,16459,5785,,
2020年02月17日,16510,5829,,
2020年02月18日,16509,5887,,
2020年02月19日,16465,5871,,
2020年02月20日,16814,6049,,
2020年02月21日,16805,6059,,
2020年02月25日,15896,5740,,
2020年02月26日,15448,5608,,
2020年02月27日,15456,5588,,
2020年02月28日,14832,5373,,
2020年03月02日,14395,5247,,
2020年03月03日,14881,5459,,
2020年03月04日,14576,5331,,
2020年03月05日,14993,5519,,
2020年03月06日,14499,5407,,
2020年03月09日,14089,5281,,
2020年03月10日,12774,4818,,
2020年03月11日,13475,5100,,
2020年03月12日,12905,4890,,
2020年03月13日,11838,4514,,
2020年03月16日,12687,4894,,
2020年03月17日,11314,4383,,
2020年03月18日,11791,4626,,
2020年03月19日,11228,4455,,
2020年03月23日,11626,4669,,
2020年03月24日,11399,4624,,
2020年03月25日,12321,5035,,
2020年03月26日,12617,5209,,
2020年03月27日,12956,5389,,
2020年03月30日,12413,5197,,
2020年03月31日,12639,5316,,
2020年04月01日,12578,5301,,
2020年04月02日,12050,5068,,
2020年04月03日,12217,5153,,
2020年04月06日,12171,5141,,
2020年04月07日,12913,5468,,
2020年04月08日,12983,5498,,
2020年04月09日,13213,5604,,
2020年04月10日,13344,5667,,
2020年04月13日,13343,5667,,
2020年04月14日,13342,5667,,
2020年04月15日,13537,5749,,
2020年04月16日,13352,5745,,
2020年04月17日,13457,5781,,
2020年04月20日,13818,5937,,
2020年04月21日,13755,5915,,
2020年04月22日,13320,5723,,
2020年04月23日,13576,5855,,
2020年04月24日,13576,5843,,
2020年04月27日,13618,5869,,
2020年04月28日,13803,5944,,
2020年04月30日,13943,6017,,
2020年05月01日,14004,6064,,
2020年05月07日,13718,5928,,
2020年05月08日,13965,6035,,
2020年05月11日,14148,6137,,
2020年05月12日,14315,6227,,
2020年05月13日,14067,6138,,
2020年05月14日,13891,6075,,
2020年05月15日,13917,6084,,
2020年05月18日,13985,6129,,
2020年05月19日,14319,6297,,
2020年05月20日,14370,6321,,
2020年05月21日,14591,6429,,
2020年05月22日,14590,6489,,
2020年05月25日,14483,6441,,
2020年05月26日,14482,6472,,
2020年05月27日,14623,6534,,
2020年05月28日,14700,6653,,
2020年05月29日,14778,6692,,
2020年06月01日,14864,6728,,
2020年06月02日,14863,6729,,
2020年06月03日,15277,6916,,
2020年06月04日,15496,7028,,
2020年06月05日,15460,6989,,
2020年06月08日,15785,7119,,
2020年06月09日,15705,7067,,
2020年06月10日,15581,6980,,
2020年06月11日,15572,6951,,
2020年06月12日,14849,6632,,
2020年06月15日,14980,6699,,
2020年06月16日,15057,6770,,
2020年06月17日,15319,6890,,
2020年06月18日,15353,6923,,
2020年06月19日,15352,6936,,
2020年06月22日,15368,6959,,
2020年06月23日,15483,7017,,
2020年06月24日,15482,7035,,
2020年06月25日,15243,6926,,
2020年06月26日,15391,7073,,
2020年06月29日,15145,6973,,
2020年06月30日,15293,7121,,
2020年07月01日,15564,7228,,
2020年07月02日,15661,7282,,
2020年07月03日,15836,7370,,
2020年07月06日,15834,7377,,
2020年07月07日,16177,7537,,
2020年07月08日,16097,7488,,
2020年07月09日,16158,7522,,
2020年07月10日,16148,7513,,
2020年07月13日,16243,7608,,
2020年07月14日,16163,7588,,
2020年07月15日,16286,7657,,
2020年07月16日,16409,7710,,
2020年07月17日,16321,7741,,
2020年07月20日,16344,7727,,
2020年07月21日,16722,7923,,
2020年07月22日,16634,7909,,
2020年07月27日,16200,7731,,
2020年07月28日,16393,7842,,
2020年07月29日,16225,7772,,
2020年07月30日,16355,7889,,
2020年07月31日,16241,7846,,
2020年08月03日,16336,7918,,
2020年08月04日,16510,8014,,
2020年08月05日,16519,8030,,
2020年08月06日,16677,8115,,
2020年08月07日,16703,8135,,
2020年08月11日,16541,8090,,
2020年08月12日,16593,8137,,
2020年08月13日,16944,8327,,
2020年08月14日,17023,8409,,
2020年08月17日,16897,8380,,
2020年08月18日,17010,8512,,
2020年08月19日,17010,8578,,
2020年08月20日,17035,8604,0.00,5
2020年08月21日,17061,8672,,
2020年08月24日,17076,8738,,
2020年08月25日,17213,8868,,
2020年08月26日,17413,9015,,
2020年08月27日,17639,9140,,
2020年08月28日,17725,9294,,
2020年08月31日,17601,9276,,
2020年09月01日,17775,9389,,
2020年09月02日,17844,9442,,
2020年09月03日,18000,9534,,
2020年09月04日,17425,9276,,
2020年09月07日,17230,9168,,
2020年09月08日,17230,9207,,
2020年09月09日,16681,8914,,
2020年09月10日,17079,9234,,
2020年09月11日,16923,9217,,
2020年09月14日,16921,9264,,
2020年09月15日,17155,9444,,
2020年09月16日,17310,9616,,
2020年09月17日,17145,9559,,
2020年09月18日,16926,9459,,
2020年09月23日,16748,9427,,
2020年09月24日,16512,9303,,
2020年09月25日,16476,9339,,
2020年09月28日,16709,9529,,
2020年09月29日,16969,9732,,
2020年09月30日,17020,9866,,
2020年10月01日,17045,9917,,
2020年10月02日,17244,10106,,
2020年10月05日,16982,9983,,
2020年10月06日,17365,10251,,
2020年10月07日,17154,10143,,
2020年10月08日,17451,10364,,
2020年10月09日,17572,10464,,
2020年10月12日,17701,10553,,
2020年10月13日,17874,10690,,
2020年10月14日,17873,10682,,
2020年10月15日,17759,10612,,
2020年10月16日,17583,10524,,
2020年10月19日,17598,10646,,
2020年10月20日,17459,10565,,
2020年10月21日,17501,10605,,
2020年10月22日,17309,10497,,
2020年10月23日,17360,10574,,
2020年10月26日,17393,10639,,
2020年10月27日,17165,10503,,
2020年10月28日,17095,10475,,
2020年10月29日,16564,10234,,
2020年10月30日,16685,10308,,
2020年11月02日,16420,10178,,
2020年11月04日,16872,10510,,
2020年11月05日,17314,10882,,
2020年11月06日,17581,11093,,
2020年11月09日,17535,11128,,
2020年11月10日,17968,11431,,
2020年11月11日,17820,11406,,
2020年11月12日,18028,11569,,
2020年11月13日,17862,11524,,
2020年11月16日,17886,11588,,
2020年11月17日,18058,11801,,
2020年11月18日,18031,11792,,
2020年11月19日,17978,11777,,
2020年11月20日,18012,11797,,
2020年11月24日,18218,11969,,
2020年11月25日,18425,12204,,
2020年11月26日,18502,12369,,
2020年11月27日,18501,12433,,
2020年11月30日,18602,12501,,
2020年12月01日,18507,12677,,
2020年12月02日,18761,12949,,
2020年12月03日,18786,13002,,
2020年12月04日,18768,13037,,
2020年12月07日,18958,13203,,
2020年12月08日,19034,13318,,
2020年12月09日,19121,13376,,
2020年12月10日,18893,13214,,
2020年12月11日,18979,13284,,
2020年12月14日,18872,13272,,
2020年12月15日,18959,13346,,
2020年12月16日,18984,13365,,
2020年12月17日,19044,13496,,
2020年12月18日,19191,13605,,
2020年12月21日,19267,13676,,
2020年12月22日,19082,13565,,
2020年12月23日,19134,13606,,
2020年12月24日,19151,13666,,
2020年12月25日,19150,13668,,
2020年12月28日,19147,13667,,
2020年12月29日,19390,13840,,
2020年12月30日,19398,14010,,
2021年01月04日,19454,14071,,
2021年01月05日,19436,14100,,
2021年01月06日,19453,14118,,
2021年01月07日,19557,14149,,
2021年01月08日,20044,14512,,
2021年01月12日,20136,14665,,
2021年01月13日,20170,14723,,
2021年01月14日,20213,14709,,
2021年01月15日,20212,14732,,
2021年01月18日,19984,14623,,
2021年01月19日,19983,14665,,
2021年01月20日,20225,14842,,
2021年01月21日,20387,15143,,
2021年01月22日,20438,15230,,
2021年01月25日,20401,15382,,
2021年01月26日,20383,15462,,
2021年01月27日,20278,15428,,
2021年01月28日,19881,15275,,
2021年01月29日,19984,15410,,
2021年02月01日,19694,15256,,
2021年02月02日,20154,15622,,
2021年02月03日,20536,15885,,
2021年02月04日,20527,15964,,
2021年02月05日,20708,16126,,
2021年02月08日,20853,16308,,
2021年02月09日,20966,16453,,
2021年02月10日,20869,16379,,
2021年02月12日,20884,16401,,
2021年02月15日,21048,16566,,
2021年02月16日,21047,16636,,
2021年02月17日,21297,16835,,
2021年02月18日,21201,16934,,
2021年02月19日,21021,16812,,
2021年02月22日,21001,16833,,
2021年02月24日,20576,16579,,
2021年02月25日,20834,16843,,
2021年02月26日,20471,16626,,
2021年03月01日,20305,16546,,
2021年03月02日,20811,17110,,
2021年03月03日,20647,16889,,
2021年03月04日,20394,16637,,
2021年03月05日,20151,16425,,
2021年03月08日,20261,16513,,
2021年03月09日,20104,16400,,
2021年03月10日,20605,16770,,
2021年03月11日,20630,16839,,
2021年03月12日,21052,17249,,
2021年03月15日,21058,17275,,
2021年03月16日,21187,17440,,
2021年03月17日,21126,17434,,
2021年03月18日,21203,17496,,
2021年03月19日,20842,17425,,
2021年03月22日,20831,17514,,
2021年03月23日,20917,17609,,
2021年03月24日,20691,17421,,
2021年03月25日,20448,17290,,
2021年03月26日,20550,17484,,
2021年03月29日,20900,17853,,
2021年03月30日,20907,18010,,
2021年03月31日,21035,18155,,
2021年04月01日,21251,18411,,
2021年04月02日,21508,18716,,
2021年04月05日,21506,18743,,
2021年04月06日,21505,18742,,
2021年04月07日,21693,18907,,
2021年04月08日,21589,18902,,
2021年04月09日,21709,18979,,
2021年04月12日,21801,19022,,
2021年04月13日,21705,18999,,
2021年04月14日,21868,19162,,
2021年04月15日,21764,19085,,
2021年04月16日,21961,19370,,
2021年04月19日,22036,19449,,
2021年04月20日,21767,19250,,
2021年04月21日,21524,19017,,
2021年04月22日,21704,19198,,
2021年04月23日,21642,19169,,
2021年04月26日,21838,19335,,
2021年04月27日,22003,19484,,
2021年04月28日,22053,19547,,
2021年04月30日,22103,19670,,
2021年05月06日,21752,19378,,
2021年05月07日,21820,19469,,
2021年05月10日,21965,19586,,
2021年05月11日,21687,19354,,
2021年05月12日,21479,19236,,
2021年05月13日,21255,19089,,
2021年05月14日,21254,19069,,
2021年05月17日,21621,19399,,
2021年05月18日,21551,19343,,
2021年05月19日,21541,19362,,
2021年05月20日,21446,19312,,
2021年05月21日,21685,19700,,
2021年05月24日,21691,19723,,
2021年05月25日,21690,19804,,
2021年05月26日,21948,20040,,
2021年05月27日,22050,20123,,
2021年05月28日,22255,20460,,
2021年05月31日,22355,20603,,
2021年06月01日,22354,20623,,
2021年06月02日,22301,20574,,
2021年06月03日,22300,20595,,
2021年06月04日,22247,20577,,
2021年06月07日,22305,20628,,
2021年06月08日,22287,20637,,
2021年06月09日,22329,20692,,
2021年06月10日,22320,20712,,
2021年06月11日,22423,20860,,
2021年06月14日,22523,20976,,
2021年06月15日,22686,21143,,
2021年06月16日,22599,21161,,
2021年06月17日,22633,21214,,
2021年06月18日,22597,21190,,
2021年06月21日,22378,20996,,
2021年06月22日,22533,21158,,
2021年06月23日,22730,21328,,
2021年06月24日,22729,21430,,
2021年06月25日,22995,21681,,
2021年06月28日,23018,21732,,
2021年06月29日,23034,21778,,
2021年06月30日,23024,21831,,
2021年07月01日,23015,21871,,
2021年07月02日,23135,22013,,
2021年07月05日,23141,22028,,
2021年07月06日,23140,22055,,
2021年07月07日,23017,21939,,
2021年07月08日,23016,21946,,
2021年07月09日,22636,21609,,
2021年07月12日,22926,21893,,
2021年07月13日,23107,22019,,
2021年07月14日,23089,21985,,
2021年07月15日,22940,21873,,
2021年07月16日,22776,21735,,
2021年07月19日,22687,21760,,
2021年07月20日,22247,21332,,
2021年07月21日,22540,21595,,
2021年07月26日,23244,22257,,
2021年07月27日,23182,22241,,
2021年07月28日,22871,21968,,
2021年07月29日,23077,22264,,
2021年07月30日,23126,22364,,
2021年08月02日,22977,22239,,
2021年08月03日,23028,22308,,
2021年08月04日,23053,22285,,
2021年08月05日,23199,22452,,
2021年08月06日,23396,22668,,
2021年08月10日,23435,22724,,
2021年08月11日,23468,22823,,
2021年08月12日,23442,22799,,
2021年08月13日,23475,22866,,
2021年08月16日,23344,22794,,
2021年08月17日,23171,22753,,
2021年08月18日,23076,22687,,
2021年08月19日,23040,22648,,
2021年08月20日,22858,22450,0.00,6
2021年08月23日,22967,22563,,
2021年08月24日,23260,22859,,
2021年08月25日,23379,23043,,
2021年08月26日,23524,23183,,
2021年08月27日,23402,23035,,
2021年08月30日,23580,23328,,
2021年08月31日,23750,23493,,
2021年09月01日,23775,23510,,
2021年09月02日,23895,23625,,
2021年09月03日,23929,23625,,
2021年09月06日,23901,23611,,
2021年09月07日,23900,23623,,
2021年09月08日,24106,23826,,
2021年09月09日,23951,23704,,
2021年09月10日,23778,23575,,
2021年09月13日,23733,23534,,
2021年09月14日,23741,23576,,
2021年09月15日,23654,23474,,
2021年09月16日,23627,23546,,
2021年09月17日,23687,23597,,
2021年09月21日,23055,22962,,
2021年09月22日,23131,23042,,
2021年09月24日,23742,23599,,
2021年09月27日,23801,23682,,
2021年09月28日,23722,23638,,
2021年09月29日,23233,23196,,
2021年09月30日,23266,23335,,
2021年10月01日,23034,23104,,
2021年10月04日,23076,23184,,
2021年10月05日,22748,22862,,
2021年10月06日,23066,23170,,
2021年10月07日,23013,23129,,
2021年10月08日,23339,23478,,
2021年10月11日,23363,23486,,
2021年10月12日,23483,23642,,
2021年10月13日,23525,23686,,
2021年10月14日,23653,23818,,
2021年10月15日,24067,24247,,
2021年10月18日,24424,24739,,
2021年10月19日,24526,24869,,
2021年10月20日,24697,25045,,
2021年10月21日,24679,25030,,
2021年10月22日,24696,25085,,
2021年10月25日,24582,25015,,
2021年10月26日,24864,25335,,
2021年10月27日,24984,25481,,
2021年10月28日,24863,25514,,
2021年10月29日,25086,25771,,
2021年11月01日,25186,25883,,
2021年11月02日,25185,25896,,
2021年11月04日,25538,26259,,
2021年11月05日,25615,26360,,
2021年11月08日,25595,26354,,
2021年11月09日,25525,26322,,
2021年11月10日,25198,26041,,
2021年11月11日,25189,26090,,
2021年11月12日,25248,26277,,
2021年11月15日,25391,26459,,
2021年11月16日,25468,26581,,
2021年11月17日,25733,26961,,
2021年11月18日,25544,26794,,
2021年11月19日,25603,26862,,
2021年11月22日,25523,26800,,
2021年11月24日,25324,26646,,
2021年11月25日,25409,26750,,
2021年11月26日,25408,26865,,
2021年11月29日,24431,25831,,
2021年11月30日,24814,26475,,
2021年12月01日,24353,25925,,
2021年12月02日,24138,25716,,
2021年12月03日,24282,25864,,
2021年12月06日,23800,25387,,
2021年12月07日,24074,25719,,
2021年12月08日,24708,26394,,
2021年12月09日,24870,26625,,
2021年12月10日,24518,26277,,
2021年12月13日,24567,26324,,
2021年12月14日,24335,26107,,
2021年12月15日,24102,25837,,
2021年12月16日,24453,26249,,
2021年12月17日,24239,26184,,
2021年12月20日,24083,26017,,
2021年12月21日,23756,25685,,
2021年12月22日,24330,26342,,
2021年12月23日,24697,26814,,
2021年12月24日,25022,27199,,
2021年12月27日,25020,27233,,
2021年12月28日,25362,27606,,
2021年12月29日,25327,27618,,
2021年12月30日,25369,27742,,
2022年01月04日,25615,28030,,
2022年01月05日,25630,28081,,
2022年01月06日,25124,27520,,
2022年01月07日,24884,27248,,
2022年01月11日,24426,26711,,
2022年01月12日,24692,26948,,
2022年01月13日,24786,27077,,
2022年01月14日,24254,26528,,
2022年01月17日,24183,26490,,
2022年01月18日,24182,26467,,
2022年01月19日,23838,26091,,
2022年01月20日,23633,26000,,
2022年01月21日,23564,25920,,
2022年01月24日,22893,25196,,
2022年01月25日,22721,25067,,
2022年01月26日,22378,24651,,
2022年01月27日,22566,24879,,
2022年01月28日,22361,24757,,
2022年01月31日,22632,25093,,
2022年02月01日,23248,25755,,
2022年02月02日,23419,25911,,
2022年02月03日,23444,25985,,
2022年02月04日,22861,25377,,
2022年02月07日,23048,25606,,
2022年02月08日,22961,25547,,
2022年02月09日,23124,25764,,
2022年02月10日,23542,26267,,
2022年02月14日,22767,25396,,
2022年02月15日,22621,25232,,
2022年02月16日,23083,25736,,
2022年02月17日,23082,25884,,
2022年02月18日,22501,25227,,
2022年02月21日,22267,24965,,
2022年02月22日,22266,24990,,
2022年02月24日,21569,24207,,
2022年02月25日,21731,24486,,
2022年02月28日,22232,25002,,
2022年03月01日,22154,24885,,
2022年03月02日,21720,24559,,
2022年03月03日,22084,25090,,
2022年03月04日,21734,24752,,
2022年03月07日,21159,24117,,
2022年03月08日,20592,23484,,
2022年03月09日,20565,23416,,
2022年03月10日,21387,24372,,
2022年03月11日,21283,24184,,
2022年03月14日,21162,24075,,
2022年03月15日,21161,24110,,
2022年03月16日,21443,24423,,
2022年03月17日,22265,25394,,
2022年03月18日,22684,25891,,
2022年03月22日,23099,26498,,
2022年03月23日,23705,27195,,
2022年03月24日,23533,27035,,
2022年03月25日,23967,27653,,
2022年03月28日,23922,27641,,
2022年03月29日,24486,28341,,
2022年03月30日,24757,28795,,
2022年03月31日,24458,28431,,
2022年04月01日,24106,28047,,
2022年04月04日,24360,28373,,
2022年04月05日,24701,28817,,
2022年04月06日,24461,28537,,
2022年04月07日,24033,28018,,
2022年04月08日,24091,28099,,
2022年04月11日,24089,28111,,
2022年04月12日,23849,27884,,
2022年04月13日,23695,27684,,
2022年04月14日,24096,28139,,
2022年04月15日,23890,27901,,
2022年04月18日,23888,27995,,
2022年04月19日,23887,27994,,
2022年04月20日,24612,28843,,
2022年04月21日,24287,28500,,
2022年04月22日,24166,28372,,
2022年04月25日,23644,27855,,
2022年04月26日,23430,27609,,
2022年04月27日,22600,26641,,
2022年04月28日,22753,26965,,
2022年05月02日,23055,27330,,
2022年05月06日,22821,27030,,
2022年05月09日,22555,26792,,
2022年05月10日,22554,26789,,
2022年05月11日,21735,25816,,
2022年05月12日,21290,25333,,
2022年05月13日,21086,25124,,
2022年05月16日,21888,26052,,
2022年05月17日,21707,25843,,
2022年05月18日,22278,26545,,
2022年05月19日,21305,25439,,
2022年05月20日,21288,25447,,
2022年05月23日,21328,25619,,
2022年05月24日,21625,26056,,
2022年05月25日,21115,25514,,
2022年05月26日,21361,25818,,
2022年05月27日,21361,25905,,
2022年05月30日,22349,27104,,
2022年05月31日,22348,27286,,
2022年06月01日,22586,27576,,
2022年06月02日,22559,27566,,
2022年06月03日,23044,28216,,
2022年06月06日,22761,27872,,
2022年06月07日,22760,27871,,
2022年06月08日,23315,28551,,
2022年06月09日,23409,28623,,
2022年06月10日,22879,28009,,
2022年06月13日,22229,27222,,
2022年06月14日,21313,26128,,
2022年06月15日,21364,26175,,
2022年06月16日,21551,26502,,
2022年06月17日,20581,25360,,
2022年06月20日,21134,26068,,
2022年06月21日,21133,26069,,
2022年06月22日,21842,26943,,
2022年06月23日,21655,26878,,
2022年06月24日,21654,26875,,
2022年06月27日,22314,27695,,
2022年06月28日,22305,27711,,
2022年06月29日,22024,27497,,
2022年06月30日,22040,27610,,
2022年07月01日,21665,27158,,
2022年07月04日,21706,27260,,
2022年07月05日,21705,27336,,
2022年07月06日,21747,27389,,
2022年07月07日,21747,27380,,
2022年07月08日,22216,27992,,
2022年07月11日,22240,28033,,
2022年07月12日,22025,27831,,
2022年07月13日,21769,27534,,
2022年07月14日,21828,27604,,
2022年07月15日,21948,27781,,
2022年07月19日,22158,28147,,
2022年07月20日,22760,28997,,
2022年07月21日,22862,29150,,
2022年07月22日,23100,29484,,
2022年07月25日,22613,28971,,
2022年07月26日,22731,29123,,
2022年07月27日,22466,28839,,
2022年07月28日,22991,29667,,
2022年07月29日,22863,29535,,
2022年08月01日,23006,29728,,
2022年08月02日,22647,29261,,
2022年08月03日,22739,29443,,
2022年08月04日,23182,30018,,
2022年08月05日,23121,29960,,
2022年08月08日,23332,30239,,
2022年08月09日,23400,30352,,
2022年08月10日,23203,30151,,
2022年08月12日,23355,30349,,
2022年08月15日,23762,30898,,
2022年08月16日,23762,30903,,
2022年08月17日,23889,31069,,
2022年08月18日,23846,31159,,
2022年08月19日,23964,31301,,
2022年08月22日,23783,31048,0.00,7
2022年08月23日,23347,30499,,
2022年08月24日,23312,30503,,
2022年08月25日,23455,30794,,
2022年08月26日,23684,31079,,
2022年08月29日,23103,30389,,
2022年08月30日,23128,30548,,
2022年08月31日,22915,30276,,
2022年09月01日,22804,30138,,
2022年09月02日,22897,30326,,
2022年09月05日,22724,30174,,
2022年09月06日,22724,30173,,
2022年09月07日,23089,30659,,
2022年09月08日,23583,31326,,
2022年09月09日,23856,31708,,
2022年09月12日,24134,32140,,
2022年09月13日,24398,32491,,
2022年09月14日,23689,31570,,
2022年09月15日,23595,31448,,
2022年09月16日,23399,31259,,
2022年09月20日,23269,31165,,
2022年09月21日,23073,30918,,
2022年09月22日,22698,30474,,
2022年09月26日,21828,29416,,
2022年09月27日,21785,29360,,
2022年09月28日,21852,29615,,
2022年09月29日,22223,30240,,
2022年09月30日,21815,29723,,
2022年10月03日,21651,29528,,
2022年10月04日,22033,30115,,
2022年10月05日,22703,31129,,
2022年10月06日,22685,31125,,
2022年10月07日,22557,31013,,
2022年10月11日,21865,30083,,
2022年10月12日,21609,29772,,
2022年10月13日,21753,30113,,
2022年10月14日,22202,30742,,
2022年10月17日,21875,30310,,
2022年10月18日,22571,31391,,
2022年10月19日,22808,31796,,
2022年10月20日,22697,31676,,
2022年10月21日,22535,31456,,
2022年10月24日,22617,31639,,
2022年10月25日,22862,32086,,
2022年10月26日,23159,32516,,
2022年10月27日,22946,32322,,
2022年10月28日,22700,32161,,
2022年10月31日,23189,32829,,
2022年11月01日,23240,32899,,
2022年11月02日,23239,32939,,
2022年11月04日,22583,32009,,
2022年11月07日,22878,32516,,
2022年11月08日,23021,32708,,
2022年11月09日,23003,32714,,
2022年11月10日,22739,32442,,
2022年11月11日,23121,33001,,
2022年11月14日,23085,32988,,
2022年11月15日,23059,32965,,
2022年11月16日,23219,33189,,
2022年11月17日,23067,33162,,
2022年11月18日,23091,33217,,
2022年11月21日,23166,33313,,
2022年11月22日,23242,33422,,
2022年11月24日,23300,33542,,
2022年11月25日,23299,33644,,
2022年11月28日,23255,33580,,
2022年11月29日,22941,33236,,
2022年11月30日,22948,33427,,
2022年12月01日,23573,34319,,
2022年12月02日,23182,33809,,
2022年12月05日,23010,33653,,
2022年12月06日,23043,33716,,
2022年12月07日,22796,33370,,
2022年12月08日,22634,33160,,
2022年12月09日,22863,33522,,
2022年12月12日,22801,33555,,
2022年12月13日,23098,34009,,
2022年12月14日,22943,33836,,
2022年12月15日,22824,33658,,
2022年12月16日,22671,33450,,
2022年12月19日,22271,33043,,
2022年12月20日,22143,32869,,
2022年12月21日,21317,31652,,
2022年12月22日,21682,32267,,
2022年12月23日,21402,31964,,
2022年12月26日,21527,32166,,
2022年12月27日,21526,32191,,
2022年12月28日,21543,32216,,
2022年12月29日,21483,32450,,
2022年12月30日,21643,32720,,
2023年01月04日,21197,32047,,
2023年01月05日,21724,32850,,
2023年01月06日,21664,32912,,
2023年01月10日,21992,33438,,
2023年01月11日,22178,33728,,
2023年01月12日,22431,34282,,
2023年01月13日,22049,33709,,
2023年01月16日,21988,33621,,
2023年01月17日,21988,33632,,
2023年01月18日,22055,33734,,
2023年01月19日,21987,33831,,
2023年01月20日,21783,33535,,
2023年01月23日,22291,34316,,
2023年01月24日,22681,34986,,
2023年01月25日,22570,34944,,
2023年01月26日,22519,34868,,
2023年01月27日,22823,35438,,
2023年01月30日,22779,35556,,
2023年01月31日,22643,35375,,
2023年02月01日,22812,35654,,
2023年02月02日,22803,35702,,
2023年02月03日,23031,36190,,
2023年02月06日,23291,36602,,
2023年02月07日,23358,36708,,
2023年02月08日,23307,36627,,
2023年02月09日,23196,36492,,
2023年02月10日,23136,36482,,
2023年02月13日,23015,36262,,
2023年02月14日,23439,36982,,
2023年02月15日,23642,37296,,
2023年02月16日,23852,37746,,
2023年02月17日,23564,37377,,
2023年02月20日,23545,37354,,
2023年02月21日,23544,37362,,
2023年02月22日,23280,36943,,
2023年02月24日,23228,37042,,
2023年02月27日,23226,37047,,
2023年02月28日,23413,37377,,
2023年03月01日,23353,37484,,
2023年03月02日,23411,37770,,
2023年03月03日,23621,38209,,
2023年03月06日,23813,38518,,
2023年03月07日,23795,38482,,
2023年03月08日,23608,38192,,
2023年03月09日,23616,38225,,
2023年03月10日,23116,37517,,
2023年03月13日,22623,36728,,
2023年03月14日,22326,36303,,
2023年03月15日,22859,37156,,
2023年03月16日,22281,36220,,
2023年03月17日,22679,36965,,
2023年03月20日,22221,36339,,
2023年03月22日,22837,37369,,
2023年03月23日,22447,36803,,
2023年03月24日,22506,37042,,
2023年03月27日,22470,36995,,
2023年03月28日,22698,37396,,
2023年03月29日,22570,37430,,
2023年03月30日,23226,38622,,
2023年03月31日,23360,38860,,
2023年04月03日,23647,39344,,
2023年04月04日,23629,39408,,
2023年04月05日,23409,39134,,
2023年04月06日,23180,38722,,
2023年04月07日,23331,39015,,
2023年04月10日,23329,39008,,
2023年04月11日,23329,39006,,
2023年04月12日,23735,39686,,
2023年04月13日,23641,39742,,
2023年04月14日,23910,40168,,
2023年04月17日,24026,40468,,
2023年04月18日,24161,40693,,
2023年04月19日,24169,40736,,
2023年04月20日,24219,40828,,
2023年04月21日,24014,40437,,
2023年04月24日,24063,40578,,
2023年04月25日,24096,40772,,
2023年04月26日,23581,39958,,
2023年04月27日,23513,39944,,
2023年04月28日,23916,40783,,
2023年05月01日,24504,41813,,
2023年05月02日,24503,41821,,
2023年05月08日,24236,41366,,
2023年05月09日,24320,41694,,
2023年05月10日,24319,41799,,
2023年05月11日,24126,41466,,
2023年05月12日,24108,41546,,
2023年05月15日,24241,41778,,
2023年05月16日,24460,42138,,
2023年05月17日,24358,42023,,
2023年05月18日,24780,42754,,
2023年05月19日,24779,42744,,
2023年05月22日,25031,43178,,
2023年05月23日,25224,43602,,
2023年05月24日,24853,43040,,
2023年05月25日,24734,42944,,
2023年05月26日,25012,43458,,
2023年05月29日,25448,44338,,
2023年05月30日,25447,44561,,
2023年05月31日,25162,44061,,
2023年06月01日,24907,43641,,
2023年06月02日,25083,44000,,
2023年06月05日,25645,45105,,
2023年06月06日,25509,44868,,
2023年06月07日,25619,45096,,
2023年06月08日,25550,45024,,
2023年06月09日,25482,44959,,
2023年06月12日,25581,45288,,
2023年06月13日,25859,45765,,
2023年06月14日,26187,46405,,
2023年06月15日,26220,46466,,
2023年06月16日,26615,47273,,
2023年06月19日,26807,47675,,
2023年06月20日,26806,47666,,
2023年06月21日,26535,47184,,
2023年06月22日,26492,47199,,
2023年06月23日,26760,47801,,
2023年06月26日,26758,47831,,
2023年06月27日,26462,47302,,
2023年06月28日,26831,48225,,
2023年06月29日,26956,48577,,
2023年06月30日,27015,48718,,
2023年07月03日,27232,49117,,
2023年07月04日,27315,49355,,
2023年07月05日,27314,49412,,
2023年07月06日,27221,49244,,
2023年07月07日,26731,48460,,
2023年07月10日,26399,47851,,
2023年07月11日,26398,47872,,
2023年07月12日,26406,48102,,
